Tesla Supercharge Refill Stations, User Address: 35 Christian Reesor Park Avenue, Markham
Station Name, Station Address, Station Price, Displacement, Maps Link
"Markham, ON - Markville", "5000 Highway 7, Markham, ON L3R 4M9", "0.0 cents", "5.2 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=5000+Highway+7%2C+Markham%2C+ON+L3R+4M9"
"Markham, ON - Woodside", "3075 Highway 7, Markham, ON L3R 5Y5", "0.0 cents", "10.96 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=3075+Highway+7%2C+Markham%2C+ON+L3R+5Y5"
"Pickering, ON", "1899 Brock Road, Pickering, ON L1V 4H4", "0.0 cents", "13.95 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=1899+Brock+Road%2C+Pickering%2C+ON+L1V+4H4"
"Scarborough, ON", "6780 Kingston Road, Scarborough, ON M1B 1G8", "0.0 cents", "12.43 km", "https://www.google.com/maps/dir/?api=1&origin=35+Christian+Reesor+Park+Avenue%2C+Markham%2C+ON%2C+Canada&destination=6780+Kingston+Road%2C+Scarborough%2C+ON+M1B+1G8"
